TransactionID,Date,CustomerID,CustomerName,Branch,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod
TXN101006,2025-09-10,CUST1057,Neha Karki,Kathmandu - New Road,,Tea Leaves (Ilam) 250g,4,382.56,1530.24,Khalti
TXN101525,2025-07-06,CUST1003,Kiran Adhikari,Kathmandu - Kupondole,Grocery,Sugar 1kg,4,367.14,1468.56,Khalti
TXN100920,2025-06-22,CUST1088,Deepak Lama,Kathmandu - Kupondole,Electronics,USB Cable Type-C,3,1701.43,5104.29,Cash
TXN102790,2025-09-16,CUST1046,Sarita Karki,Butwal - Traffic Chowk,Apparel,Cotton T-Shirt,1,2463.49,2463.49,eSewa
TXN101977,2025-07-30,CUST1008,Alina Tamang,Bhaktapur - Suryabinayak,Bakery,Khari Biscuit Pack,3,223.3,669.9,Khalti
TXN101541,2025-09-04,CUST1020,Deepak Magar,Biratnagar - Main Road,Bakery,Sliced Bread,4,166.78,667.12,Khalti
TXN105535,2025-05-15,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Dairy,Paneer 250g,4,209.83,839.32,eSewa
TXN104540,2025-12-17,CUST1008,Alina Tamang,Bhaktapur - Suryabinayak,Grocery,Wheat Flour 5kg,4,368.29,1473.16,Debit/Credit Card
TXN102096,2025-09-06,CUST1069,Bijay Magar,Lalitpur - Pulchowk,Personal Care,Nivea Body Lotion,3,128.08,384.24,Khalti
TXN101749,2025-09-07,CUST1073,Bikash Shrestha,Kathmandu - New Road,Personal Care,Nivea Body Lotion,1,615.7,615.7,Cash
TXN105399,2025-10-24,CUST1070,Alina Rai,Kathmandu - Kupondole,Household,Harpic Toilet Cleaner,1,374.01,374.01,
TXN100161,2025-11-05,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Grocery,Wheat Flour 5kg,1,184.54,184.54,Debit/Credit Card
TXN101202,2025-12-26,CUST1135,Sabina Bhattarai,Lalitpur - Pulchowk,Beverages,Tea Leaves (Ilam) 250g,4,396.14,1584.56,Khalti
TXN102943,2025-10-05,CUST1044,Puja Magar,Butwal - Traffic Chowk,Apparel,Formal Shirt,4,1943.16,7772.64,eSewa
TXN101645,2025-12-21,CUST1013,Kiran Shrestha,Biratnagar - Main Road,Apparel,Socks (3-pair pack),2,2977.06,5954.12,eSewa
TXN104506,2025-10-21,CUST1117,Prakash Shrestha,Pokhara - Lakeside,Dairy,Paneer 250g,1,84.65,84.65,Cash
TXN102842,2025-05-02,CUST1070,Alina Rai,Kathmandu - Kupondole,Grocery,Salt 1kg,4,265.6,1062.4,Bank Transfer
TXN100612,2025-11-16,CUST1125,Neha Basnet,Kathmandu - New Road,Bakery,Chocolate Cake Slice,4,137.05,548.2,Cash
TXN102805,2025-08-22,CUST1036,Sunita Maharjan,Kathmandu - Kupondole,Personal Care,Head & Shoulders Shampoo,3,363.18,1089.54,eSewa
TXN101948,2025-06-09,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Apparel,Winter Jacket,4,1541.58,6166.32,Cash
TXN105931,2025-04-30,CUST1098,Bijay Khadka,Bhaktapur - Suryabinayak,Personal Care,Dove Soap,1,481.22,481.22,Cash
TXN101725,2025-05-25,CUST1000,Rohit Gurung,Pokhara - Lakeside,Apparel,Cotton T-Shirt,2,1295.48,2590.96,Khalti
TXN100716,2025-10-14,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Personal Care,Head & Shoulders Shampoo,1,455.73,455.73,Cash
TXN101121,2025-11-20,CUST1004,Rajesh Adhikari,Kathmandu - Kupondole,Household,Surf Excel 1kg,4,382.75,1531.0,Cash
TXN103572,2025-05-28,CUST1005,Milan Lama,Lalitpur - Pulchowk,Beverages,Nescafe Coffee 100g,4,245.35,981.4,Khalti
TXN104341,2025-04-19,CUST1073,Bikash Shrestha,Kathmandu - New Road,Grocery,Salt 1kg,3,445.66,1336.98,eSewa
TXN100439,2025-02-21,CUST1013,Kiran Shrestha,Pokhara - Lakeside,Electronics,Power Bank 10000mAh,3,1192.86,3578.58,Cash
TXN103224,2025-10-09,CUST1093,Aashish Magar,Bhaktapur - Suryabinayak,Beverages,Nescafe Coffee 100g,1,129.98,129.98,Cash
TXN104729,2025-01-22,CUST1075,Deepak Magar,Butwal - Traffic Chowk,Electronics,USB Cable Type-C,4,,6753.16,Cash
TXN101362,2025-09-13,CUST1102,Sandip Tamang,Butwal - Traffic Chowk,Personal Care,Dove Soap,4,169.77,679.08,Cash
TXN103686,2025-11-03,CUST1047,Rita Adhikari,Kathmandu - Kupondole,Beverages,Gorkha Beer (6-pack),1,185.4,185.4,Cash
TXN103777,2025-10-05,CUST1050,Manisha Rai,Pokhara - Lakeside,Electronics,Extension Board,3,1475.54,4426.62,Cash
TXN102973,2025-04-26,CUST1059,Rajesh Shrestha,Kathmandu - Kupondole,Bakery,Chocolate Cake Slice,2,43.88,87.76,eSewa
TXN105743,2025-01-24,CUST1073,,Kathmandu - New Road,Bakery,Chocolate Cake Slice,2,66.19,132.38,Cash
TXN102556,2025-05-18,CUST1136,Bikash Gurung,Lalitpur - Pulchowk,Household,LED Bulb 9W,2,333.34,666.68,Cash
TXN100680,2025-10-10,CUST1061,Bikash Shrestha,Bhaktapur - Suryabinayak,Grocery,Red Lentil (Masoor Dal) 1kg,3,218.14,654.42,Cash
TXN100286,2025-09-19,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Grocery,Red Lentil (Masoor Dal) 1kg,1,432.58,432.58,Cash
TXN100364,2025-10-19,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Apparel,Socks (3-pair pack),1,1395.0,1395.0,Cash
TXN101094,2025-08-22,CUST1127,Sunita Adhikari,Kathmandu - New Road,Apparel,Formal Shirt,4,2322.97,9291.88,Khalti
TXN101563,2025-06-10,CUST1019,Sarita Magar,Kathmandu - Kupondole,Grocery,Mustard Oil 1L,1,181.67,181.67,eSewa
TXN104780,2025-10-14,CUST1142,Rohit Maharjan,Lalitpur - Pulchowk,Beverages,Coca-Cola 1.5L,2,245.56,491.12,Khalti
TXN101880,2025-03-26,CUST1145,Manisha Adhikari,Biratnagar - Main Road,Electronics,Wall Clock,3,3087.93,9263.79,Debit/Credit Card
TXN103952,2025-03-24,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Household,Surf Excel 1kg,2,749.38,1498.76,Cash
TXN104488,2025-03-28,CUST1137,Sunita Tamang,Kathmandu - New Road,Bakery,Chocolate Cake Slice,3,301.26,903.78,eSewa
TXN100842,2025-09-12,CUST1083,Rohit Shrestha,Kathmandu - New Road,Dairy,Nimbus Cheese Slices,4,268.2,1072.8,Khalti
TXN103665,2025-11-11,CUST1112,Nabin Magar,Butwal - Traffic Chowk,Household,Surf Excel 1kg,1,206.02,206.02,Cash
TXN102062,2025-04-19,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Apparel,Formal Shirt,1,1230.62,1230.62,Khalti
TXN104849,2025-09-27,CUST1001,Deepak Lama,Bhaktapur - Suryabinayak,Dairy,Butter 200g,4,143.69,574.76,Khalti
TXN101721,2025-08-12,CUST1012,Sabina Maharjan,Pokhara - Lakeside,Grocery,Wai Wai Noodles (pack),1,315.34,315.34,Cash
TXN105145,2025-11-07,CUST1059,Rajesh Shrestha,Kathmandu - Kupondole,Beverages,Tea Leaves (Ilam) 250g,4,,1796.84,Cash
TXN103145,2025-11-29,CUST1030,Kiran Maharjan,Pokhara - Lakeside,Grocery,Wheat Flour 5kg,4,626.07,2504.28,Khalti
TXN102036,2025-11-21,CUST1095,Neha Khadka,Butwal - Traffic Chowk,Apparel,Winter Jacket,1,2439.65,2439.65,Khalti
TXN102713,2025-05-13,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Beverages,Gorkha Beer (6-pack),1,484.98,484.98,eSewa
TXN103843,2025-09-24,CUST1002,Kritika Bhattarai,Butwal - Traffic Chowk,Apparel,Winter Jacket,4,1942.93,7771.72,Cash
TXN103365,2025-06-05,CUST1040,Puja Gurung,Butwal - Traffic Chowk,Apparel,Kids Frock,1,2178.38,2178.38,Cash
TXN100529,2025-09-26,CUST1105,Sandip Magar,Kathmandu - New Road,,Steel Lunch Box,1,1107.34,1107.34,Cash
TXN105077,2025-10-14,CUST1108,Neha Karki,Bhaktapur - Suryabinayak,Grocery,Wheat Flour 5kg,4,437.2,1748.8,Debit/Credit Card
TXN100781,2025-08-27,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Beverages,Tea Leaves (Ilam) 250g,1,446.17,446.17,Khalti
TXN103281,2025-11-19,CUST1134,Sandip Khadka,Pokhara - Lakeside,Household,Harpic Toilet Cleaner,1,397.75,397.75,eSewa
TXN103351,2025-12-07,CUST1039,Sabina Thapa,Butwal - Traffic Chowk,Apparel,Formal Shirt,2,1997.02,3994.04,Debit/Credit Card
TXN102015,2025-04-23,CUST1081,Puja Khadka,Kathmandu - Kupondole,Beverages,Real Juice 1L,4,233.82,935.28,eSewa
TXN105842,2025-11-11,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Personal Care,Nivea Body Lotion,3,146.57,439.71,Cash
TXN101790,2025-05-07,CUST1119,Nabin Maharjan,Kathmandu - New Road,Beverages,Coca-Cola 1.5L,2,157.35,314.7,Khalti
TXN100856,2025-03-21,CUST1142,Rohit Maharjan,Lalitpur - Pulchowk,Dairy,DDC Milk 1L,2,244.43,488.86,eSewa
TXN102152,2025-10-12,CUST1067,Anita Shrestha,Kathmandu - Kupondole,Grocery,Sugar 1kg,2,823.15,1646.3,Khalti
TXN103960,2025-03-30,CUST1118,Alina Shrestha,Bhaktapur - Suryabinayak,Apparel,Cotton T-Shirt,4,1482.8,5931.2,Khalti
TXN104938,2025-09-13,CUST1110,Sushma Karki,Kathmandu - New Road,Dairy,Yogurt (Dahi) 500g,3,372.59,1117.77,eSewa
TXN103825,2025-07-09,CUST1055,Rohit Poudel,Lalitpur - Pulchowk,Household,Steel Lunch Box,3,484.35,1453.05,Cash
TXN104575,2025-09-21,CUST1015,Sushma Bhattarai,Kathmandu - Kupondole,Electronics,Bluetooth Earphones,3,3212.05,9636.15,eSewa
TXN100657,2025-01-04,CUST1024,Rajesh Adhikari,Lalitpur - Pulchowk,Electronics,Power Bank 10000mAh,3,1201.33,3603.99,Khalti
TXN104491,2025-09-29,CUST1060,Kritika Tamang,Lalitpur - Pulchowk,Bakery,Butter Cookies,1,261.16,261.16,Cash
TXN102981,2025-08-26,CUST1014,Neha Basnet,Lalitpur - Pulchowk,Apparel,Cotton T-Shirt,1,865.91,865.91,Cash
TXN103509,2025-06-16,CUST1016,Neha Poudel,Chitwan - Bharatpur,Apparel,Cotton T-Shirt,1,1369.72,1369.72,eSewa
TXN103171,2025-08-08,CUST1043,Neha Maharjan,Butwal - Traffic Chowk,Grocery,Wai Wai Noodles (pack),4,228.75,915.0,eSewa
TXN103247,2025-06-15,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Beverages,Tea Leaves (Ilam) 250g,2,,797.42,
TXN100776,2025-09-26,CUST1118,Alina Shrestha,Bhaktapur - Suryabinayak,Electronics,USB Cable Type-C,3,1365.83,4097.49,eSewa
TXN104009,2025-05-14,CUST1112,Nabin Magar,Butwal - Traffic Chowk,Apparel,Cotton T-Shirt,2,2062.05,4124.1,Cash
TXN104824,2025-12-08,CUST1039,,Kathmandu - New Road,Grocery,Mustard Oil 1L,4,635.77,2543.08,eSewa
TXN100276,2025-12-18,CUST1003,Kiran Adhikari,Kathmandu - Kupondole,Personal Care,Sanitary Pads Pack,3,579.25,1737.75,eSewa
TXN104202,2025-03-06,CUST1010,Anita Karki,Chitwan - Bharatpur,Beverages,Real Juice 1L,2,119.43,238.86,Bank Transfer
TXN102242,2025-12-25,CUST1036,Sunita Maharjan,Kathmandu - Kupondole,Dairy,Paneer 250g,2,214.23,428.46,Cash
TXN102207,2025-04-02,CUST1039,Sabina Thapa,Butwal - Traffic Chowk,Dairy,Nimbus Cheese Slices,1,360.78,360.78,Khalti
TXN104450,2025-09-04,CUST1099,Rohit Magar,Kathmandu - Kupondole,Dairy,DDC Milk 1L,4,399.45,1597.8,Debit/Credit Card
TXN105608,2025-08-08,CUST1044,Puja Magar,Bhaktapur - Suryabinayak,,USB Cable Type-C,1,2415.84,2415.84,Khalti
TXN104665,2025-03-15,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Dairy,Paneer 250g,2,75.37,150.74,Cash
TXN100369,2025-04-17,CUST1055,Rohit Poudel,Lalitpur - Pulchowk,Household,LED Bulb 9W,3,1077.01,3231.03,Cash
TXN101298,2025-04-23,CUST1042,Manisha Basnet,Bhaktapur - Suryabinayak,Grocery,Basmati Rice 5kg,1,551.05,551.05,eSewa
TXN103637,2025-08-22,CUST1020,Deepak Magar,Bhaktapur - Suryabinayak,Personal Care,Dove Soap,3,256.89,770.67,Cash
TXN101319,2025-03-20,CUST1031,Sabnam Khadka,Bhaktapur - Suryabinayak,Household,Vim Dishwash Bar,3,1106.74,3320.22,Khalti
TXN101706,2025-03-29,CUST1035,Rita Shrestha,Biratnagar - Main Road,Household,Vim Dishwash Bar,2,207.35,414.7,
TXN103422,2025-10-27,CUST1055,Rohit Poudel,Lalitpur - Pulchowk,Household,Steel Lunch Box,2,823.65,1647.3,Khalti
TXN102067,2025-11-18,CUST1131,Sabnam Maharjan,Pokhara - Lakeside,Beverages,Nescafe Coffee 100g,1,445.35,445.35,Debit/Credit Card
TXN100285,2025-03-04,CUST1097,Milan Basnet,Kathmandu - New Road,Electronics,USB Cable Type-C,3,504.55,1513.65,Khalti
TXN100671,2025-02-05,CUST1140,Sabnam Poudel,Pokhara - Lakeside,Beverages,Tea Leaves (Ilam) 250g,1,389.5,389.5,Khalti
TXN100858,2025-07-11,CUST1140,Sabnam Poudel,Pokhara - Lakeside,Dairy,Yogurt (Dahi) 500g,3,125.15,375.45,Debit/Credit Card
TXN101287,2025-05-25,CUST1039,Sabina Thapa,Butwal - Traffic Chowk,Dairy,Yogurt (Dahi) 500g,3,,849.72,Debit/Credit Card
TXN105560,2025-11-05,CUST1124,Anita Rai,Lalitpur - Pulchowk,Grocery,Mustard Oil 1L,1,189.88,189.88,Debit/Credit Card
TXN101963,2025-11-02,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Apparel,Socks (3-pair pack),1,2721.45,2721.45,Cash
TXN104935,2025-09-16,CUST1040,Puja Gurung,Kathmandu - New Road,Apparel,Kids Frock,3,868.17,2604.51,Cash
TXN100312,2025-08-31,CUST1004,Rajesh Adhikari,Kathmandu - Kupondole,Grocery,Salt 1kg,2,163.66,327.32,eSewa
TXN103796,2025-08-16,CUST1055,Rohit Poudel,Butwal - Traffic Chowk,Grocery,Sugar 1kg,1,594.85,594.85,Cash
TXN104544,2025-09-19,CUST1070,Alina Rai,Kathmandu - Kupondole,Electronics,Wall Clock,4,778.07,3112.28,Cash
TXN101291,2025-02-05,CUST1045,Sunita Magar,Kathmandu - Kupondole,Bakery,Sliced Bread,1,203.94,203.94,Debit/Credit Card
TXN103964,2025-02-08,CUST1045,Sunita Magar,Kathmandu - Kupondole,Electronics,Extension Board,1,1285.99,1285.99,Debit/Credit Card
TXN105287,2025-10-19,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Electronics,Power Bank 10000mAh,3,1617.87,4853.61,Khalti
TXN102750,2025-06-11,CUST1015,Sushma Bhattarai,Kathmandu - Kupondole,Beverages,Coca-Cola 1.5L,3,288.94,866.82,Cash
TXN105835,2025-05-14,CUST1060,Kritika Tamang,Lalitpur - Pulchowk,Bakery,Sliced Bread,4,171.72,686.88,Cash
TXN104715,2025-05-12,CUST1014,Neha Basnet,Kathmandu - Kupondole,Apparel,Formal Shirt,1,2605.36,2605.36,Cash
TXN104424,2025-11-01,CUST1002,Kritika Bhattarai,Biratnagar - Main Road,Personal Care,Dove Soap,3,327.7,983.1,eSewa
TXN105226,2025-06-30,CUST1065,Rohit Poudel,Biratnagar - Main Road,Personal Care,Head & Shoulders Shampoo,1,640.43,640.43,eSewa
TXN103727,2025-07-25,CUST1018,Puja Khadka,Bhaktapur - Suryabinayak,Bakery,Khari Biscuit Pack,4,283.01,1132.04,Khalti
TXN104005,2025-03-02,CUST1047,Rita Adhikari,Bhaktapur - Suryabinayak,Household,Vim Dishwash Bar,3,422.93,1268.79,Debit/Credit Card
TXN104794,2025-08-04,CUST1135,Sabina Bhattarai,Lalitpur - Pulchowk,Beverages,Coca-Cola 1.5L,1,399.14,399.14,eSewa
TXN105302,2025-04-07,CUST1050,Manisha Rai,Pokhara - Lakeside,Electronics,Wall Clock,2,3140.63,6281.26,Debit/Credit Card
TXN102916,2025-06-28,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Dairy,DDC Milk 1L,2,343.15,686.3,Cash
TXN100486,2025-08-12,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Bakery,Khari Biscuit Pack,2,118.21,236.42,Khalti
TXN100619,2025-08-07,CUST1106,Prakash Shrestha,Kathmandu - Kupondole,Personal Care,Colgate Toothpaste,1,405.23,405.23,eSewa
TXN104627,2025-04-09,CUST1039,Sabina Thapa,Butwal - Traffic Chowk,Personal Care,Colgate Toothpaste,1,500.1,500.1,Cash
TXN105492,2025-09-02,CUST1003,Kiran Adhikari,Kathmandu - Kupondole,Electronics,Wall Clock,3,3108.76,9326.28,Debit/Credit Card
TXN104996,2025-10-18,CUST1135,Sabina Bhattarai,Lalitpur - Pulchowk,Bakery,Khari Biscuit Pack,2,185.36,370.72,eSewa
TXN101442,2025-12-07,CUST1080,Sandip Basnet,Chitwan - Bharatpur,Bakery,Butter Cookies,3,53.69,161.07,eSewa
TXN101540,2025-11-07,CUST1108,Neha Karki,Bhaktapur - Suryabinayak,Beverages,Tea Leaves (Ilam) 250g,3,374.33,1122.99,Debit/Credit Card
TXN101510,2025-04-03,CUST1135,Sabina Bhattarai,Lalitpur - Pulchowk,Apparel,Kids Frock,3,446.76,1340.28,Khalti
TXN104626,2025-12-03,CUST1003,Kiran Adhikari,Kathmandu - Kupondole,Beverages,Coca-Cola 1.5L,2,215.93,431.86,Khalti
TXN105528,2025-04-12,CUST1143,Kritika Shrestha,Bhaktapur - Suryabinayak,Electronics,Wall Clock,4,3021.98,12087.92,Bank Transfer
TXN101244,2025-11-29,CUST1005,Milan Lama,Butwal - Traffic Chowk,Beverages,Coca-Cola 1.5L,1,354.18,354.18,Khalti
TXN104999,2025-01-28,CUST1060,Kritika Tamang,Lalitpur - Pulchowk,Grocery,Salt 1kg,2,377.89,755.78,Cash
TXN103487,2025-02-04,CUST1070,Alina Rai,Kathmandu - Kupondole,Beverages,Gorkha Beer (6-pack),3,287.72,863.16,Cash
TXN103222,2025-01-06,CUST1130,Alina Rai,Bhaktapur - Suryabinayak,Personal Care,Dove Soap,2,549.85,1099.7,Khalti
TXN103982,2025-10-23,CUST1066,Kritika Khadka,Kathmandu - New Road,Electronics,USB Cable Type-C,2,3360.84,6721.68,Cash
TXN100211,2025-11-30,CUST1039,Sabina Thapa,Butwal - Traffic Chowk,Personal Care,Dove Soap,4,312.46,1249.84,Cash
TXN101682,2025-10-02,CUST1013,Kiran Shrestha,Biratnagar - Main Road,Beverages,Tea Leaves (Ilam) 250g,3,459.28,1377.84,eSewa
TXN102117,2025-09-15,CUST1070,Alina Rai,Kathmandu - Kupondole,Dairy,Butter 200g,3,236.33,708.99,Khalti
TXN101599,2025-08-13,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Personal Care,Colgate Toothpaste,3,485.02,1455.06,eSewa
TXN104810,2025-02-23,CUST1013,Kiran Shrestha,Biratnagar - Main Road,Grocery,Salt 1kg,4,557.68,2230.72,Cash
TXN105094,2025-03-19,CUST1061,Bikash Shrestha,Biratnagar - Main Road,Apparel,Winter Jacket,4,,3723.64,Cash
TXN104352,2025-01-01,CUST1055,Rohit Poudel,Lalitpur - Pulchowk,Beverages,Tea Leaves (Ilam) 250g,4,91.98,367.92,Cash
TXN101453,2025-09-30,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Electronics,USB Cable Type-C,3,361.77,1085.31,eSewa
TXN102013,2025-11-15,CUST1016,,Chitwan - Bharatpur,Apparel,Kids Frock,3,2135.37,6406.11,Debit/Credit Card
TXN105777,2025-12-04,CUST1069,,Lalitpur - Pulchowk,Beverages,Coca-Cola 1.5L,4,329.72,1318.88,Cash
TXN100790,2025-10-24,CUST1031,Sabnam Khadka,Bhaktapur - Suryabinayak,Personal Care,Nivea Body Lotion,1,94.71,94.71,eSewa
TXN101461,2025-04-17,CUST1130,Alina Rai,Bhaktapur - Suryabinayak,Apparel,Socks (3-pair pack),4,1016.48,4065.92,Cash
TXN100432,2025-09-19,CUST1055,Rohit Poudel,Lalitpur - Pulchowk,Grocery,Basmati Rice 5kg,1,304.99,304.99,Cash
TXN104309,2025-06-22,CUST1049,Sarita Bhattarai,Kathmandu - New Road,Personal Care,Colgate Toothpaste,3,426.73,1280.19,Khalti
TXN105643,2025-11-10,CUST1020,Deepak Magar,Kathmandu - New Road,Apparel,Winter Jacket,4,914.19,3656.76,Khalti
TXN103866,2025-05-23,CUST1078,Bijay Magar,Kathmandu - Kupondole,Electronics,Wall Clock,4,2352.41,9409.64,Cash
TXN104270,2025-11-11,CUST1050,Manisha Rai,Pokhara - Lakeside,Beverages,Nescafe Coffee 100g,2,313.64,627.28,eSewa
TXN101383,2025-07-22,CUST1075,Deepak Magar,Butwal - Traffic Chowk,Grocery,Mustard Oil 1L,4,138.13,552.52,eSewa
TXN100839,2025-09-14,CUST1061,Bikash Shrestha,Bhaktapur - Suryabinayak,Beverages,Real Juice 1L,3,129.49,388.47,Khalti
TXN101418,2025-11-01,CUST1008,Alina Tamang,Bhaktapur - Suryabinayak,Bakery,Butter Cookies,1,344.2,344.2,Debit/Credit Card
TXN102741,2025-09-05,CUST1002,Kritika Bhattarai,Butwal - Traffic Chowk,Personal Care,Dove Soap,3,217.69,653.07,eSewa
TXN102371,2025-09-15,CUST1078,Bijay Magar,Kathmandu - Kupondole,Personal Care,Sanitary Pads Pack,3,573.65,1720.95,eSewa
TXN101043,2025-11-18,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Personal Care,Dove Soap,2,422.79,845.58,Khalti
TXN101973,2025-10-05,CUST1130,Alina Rai,Pokhara - Lakeside,Personal Care,Nivea Body Lotion,4,425.02,1700.08,eSewa
TXN103632,2025-02-25,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Grocery,Salt 1kg,2,184.92,369.84,Cash
TXN104250,2025-09-20,CUST1056,Alina Shrestha,Kathmandu - New Road,Electronics,Extension Board,4,396.45,1585.8,eSewa
TXN103669,2025-11-10,CUST1104,Kritika Lama,Lalitpur - Pulchowk,Beverages,Real Juice 1L,2,279.16,558.32,Khalti
TXN104619,2025-05-08,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Apparel,Socks (3-pair pack),3,1908.95,5726.85,Cash
TXN103281,2025-11-19,CUST1134,,Pokhara - Lakeside,Beverages,Tea Leaves (Ilam) 250g,1,234.66,234.66,Cash
TXN104565,2025-10-02,CUST1061,Bikash Shrestha,Bhaktapur - Suryabinayak,Beverages,Nescafe Coffee 100g,4,452.43,1809.72,Cash
TXN103165,2025-10-14,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Beverages,Coca-Cola 1.5L,1,112.18,112.18,eSewa
TXN102641,2025-09-16,CUST1003,Kiran Adhikari,Kathmandu - Kupondole,Dairy,Yogurt (Dahi) 500g,4,69.89,279.56,eSewa
TXN100498,2025-09-02,CUST1070,Alina Rai,Kathmandu - Kupondole,Grocery,Wheat Flour 5kg,4,738.9,2955.6,Cash
TXN100462,2025-03-24,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Household,Surf Excel 1kg,2,952.66,1905.32,Cash
TXN105295,2025-09-30,CUST1098,Bijay Khadka,Bhaktapur - Suryabinayak,Grocery,Red Lentil (Masoor Dal) 1kg,4,498.43,1993.72,eSewa
TXN100447,2025-08-05,CUST1138,Bikash Tamang,Bhaktapur - Suryabinayak,Bakery,Sliced Bread,2,318.84,637.68,Debit/Credit Card
TXN104473,2025-10-28,CUST1148,Sarita Basnet,Biratnagar - Main Road,Apparel,Socks (3-pair pack),4,1911.51,7646.04,Cash
TXN100449,2025-09-04,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Personal Care,Sanitary Pads Pack,2,251.37,502.74,eSewa
TXN103168,2025-11-08,CUST1039,Sabina Thapa,Bhaktapur - Suryabinayak,Dairy,Yogurt (Dahi) 500g,3,207.55,622.65,eSewa
TXN105152,2025-01-06,CUST1135,Sabina Bhattarai,Lalitpur - Pulchowk,Dairy,Nimbus Cheese Slices,3,142.25,426.75,Khalti
TXN105149,2025-11-03,CUST1019,Sarita Magar,Kathmandu - Kupondole,,Wai Wai Noodles (pack),2,872.46,1744.92,eSewa
TXN101976,2025-10-01,CUST1041,Sushma Bhattarai,Lalitpur - Pulchowk,Grocery,Red Lentil (Masoor Dal) 1kg,2,158.42,316.84,Cash
TXN102105,2025-07-04,CUST1002,Kritika Bhattarai,Butwal - Traffic Chowk,Grocery,Salt 1kg,1,554.64,554.64,
TXN100289,2025-07-23,CUST1086,Prakash Adhikari,Kathmandu - Kupondole,Household,Harpic Toilet Cleaner,1,979.22,979.22,Khalti
